Product ID,Product,Category,Tube Price,Tyre Price,MRP,Web Price, Width,Ration,Diameter,Visiblity,Vehicle Type,Tyre Type
2679,Cavendish 110/90-18 61P BLAZE BR32 Tubeless Two wheeler,CAVENDISH,0,1990,1940,1990,110,90,18,yes,two-wheeler,two-wheeler
2683,Cavendish 3.00-18 BLAZE BR11 Tubetyre Two wheeler,CAVENDISH,179,1291,1420,1470,3,r,18,yes,two-wheeler,two-wheeler
769,Cavendish 90/100-10  53J BLAZE BA21 Tubeless Two wheeler,CAVENDISH,,1040,990,1040,90,100,10,yes,two-wheeler,two-wheeler
782,Cavendish 2.75-18 6PR 48P BLAZE BR21 Tubeless Two wheeler,CAVENDISH,,1370,1320,1370,2.75,r,18,yes,two-wheeler,two-wheeler
796,Cavendish 3.00-17 6PR 50P BLAZE BR11 Tubeless Two wheeler,CAVENDISH,,1380,1330,1380,3,r,17,yes,two-wheeler,two-wheeler
819,Cavendish 3.00-17 6PR 50P CHALLENGER R43 Tubetyre Two wheeler,CAVENDISH,179,1231,1360,1410,3,r,17,yes,two-wheeler,two-wheeler
2665,Cavendish 80/100-18 47P BLAZE BF32 Tubeless Two wheeler,CAVENDISH,0,1280,1230,1280,80,100,18,yes,two-wheeler,two-wheeler
2676,Cavendish 2.75-18 BLAZE BR21 Tubetyre Two wheeler,CAVENDISH,179,1261,1390,1440,2.75,r,18,yes,two-wheeler,two-wheeler
2680,Cavendish 100/90-18 56P BLAZE BR32 Tubeless Two wheeler,CAVENDISH,0,1640,1590,1640,100,90,18,yes,two-wheeler,two-wheeler
795,Cavendish 2.75-18 6PR 48P BLAZE BR11 Tubeless Two wheeler,CAVENDISH,,1280,1230,1280,2.75,r,18,yes,two-wheeler,two-wheeler
818,Cavendish 2.75-18 6PR 48P CHALLENGER R43 Tubetyre Two wheeler,CAVENDISH,179,1201,1330,1380,2.75,r,18,yes,two-wheeler,two-wheeler
2667,Cavendish 90/90-19 52P BLAZE BF32 Tubeless Two wheeler,CAVENDISH,0,1380,1330,1380,90,90,19,yes,two-wheeler,two-wheeler
